                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.33018,                0.24691,                      1,                  1.147,               0.070417,               0.003287,               0.003287
                      1,                0.31664,                0.28704,                      1,                 1.1401,               0.039761,               0.005965,               0.005965
                      2,                 0.3099,                0.20988,                      1,                 1.2695,              0.0084458,              0.0079829,              0.0079829
                      3,                 0.2892,                0.28704,                      1,                 1.1509,                0.00703,                0.00703,                0.00703
                      4,                0.26312,                0.53086,                      1,                 1.0168,                0.00703,                0.00703,                0.00703
                      5,                0.23035,                0.51852,                      1,                 1.0271,                0.00604,                0.00604,                0.00604
                      6,                0.16273,                0.65123,                      1,                0.92057,                0.00505,                0.00505,                0.00505
                      7,                0.10409,                0.60185,                      1,                0.96578,                0.00406,                0.00406,                0.00406
                      8,                0.05608,                0.70679,                      1,                 0.8825,                0.00307,                0.00307,                0.00307
                      9,                0.04004,                0.71914,                      1,                0.86897,                0.00208,                0.00208,                0.00208
